rank,pid_1915,pid_1924,similarity,chapter_1915,chapter_1924,section_1924,text_1915,text_1924,verdict
1,C13-S01-P05,C06-S06-P06,0.3076923076923077,C13,C06,C06-S06,第四に基督敎の方は復活（レサレクション）の考があります。 基督が復活したといふことを篤く信じて、基督を信仰する者は亦基督の樣に復活するといふのがポーロの考であり...,丁、基督敎는 基督 復活의 理를 說하야 一般 信者가 한가지로 來世의 復活을 信하나 儒敎는 不然한 것,VALID
2,C02-P29,C03-S04-I02-P01,0.25,C02,C03,C03-S04,先づ唯物論と唯心論といふものを對照して論じましたが、次に實在論(Realismus)といふものに就いて少し述べて見やうと思ひます。,네로부터 哲人들이 宇宙를 觀하는 眞理에 잇서 두 가지 큰潮流가 잇나니 하나는 唯物論이오 하나는 唯心論이라 하는 것이라,VALID
3,C06-P17,C03-S04-I05-P03,0.25,C06,C03,C03-S04,第五、細胞本位意識論（Cellulare Theorie des Bewusstseins）是れは凡ての細胞に意識があると云ふのでありまして、なか／＼廣くなりて...,첫재는 사람 本位의 意識論이니 即 사람 以外의 것은 무엇이든지 意識이 업다 하는 것이며,VALID
4,C13-S03-P02,C06-S06-P02,0.25,C13,C06,C06-S06,第一、基督敎では愛といふことを大變に尊びますが、其の愛は前にも申しましたやうに無差別平等の愛であるか、儒敎の愛と違ふ點は無論ありますけれども、倂ながら愛を説くと...,第一 儒敎와 基督敎의 差異点으로 말하면,VALID
5,C14-S03-P01,C06-S06-P09,0.25,C14,C06,C06-S06,尙この佛敎と基督敎といふものを對照して見ますると、宗敎の種類が餘程違つて居ります。 どちらも宗敎は宗敎であるけれども、其の宗敎の種類が決して同じものではない。,第二 . 佛敎와 基督敎의 差異点을 들러 보면,VALID
6,C21-P16,C01-S02-I03-P01,0.25,C21,C01,C01-S02,(四) 救濟の信仰 救濟の信仰と申しますのは、その超人的の勢力は必ず自分を將來に於て救濟する、と。 唯、さう云ふ希望だけ言つたのぢやいけない、必ず救濟するもので...,一神敎에서는 宗敎的 要素로 超人的 勢力을 밋는 것이며 超人的 勢力에 歸依하는 것이며 超人的 勢力에 對한 希望과 祈願이 그 主要한 要素이며 그리하...,VALID
9,C13-S01-P01,C06-S06-P02,0.2,C13,C06,C06-S06,基督敎と儒敎と對照して見ますと素より種々なる差異點のあることが見えるのであります。 此處には差異點を講究する積りではないけれども、差異點のあることを決して看過し...,第一 儒敎와 基督敎의 差異点으로 말하면,VALID
10,C14-S03-P04,C06-S06-P14,0.1836734693877551,C14,C06,C06-S06,第三に佛敎は沒我敎であります。 悟を開かぬ者は六道に輪廻するといふことを説きまして、何時までも、輪廻を免れぬけれども、悟を開けば宇宙の實在と一體となつて沒我の境...,戊、佛敎는 沒我敎이나 基督敎는 主我敎이라 佛敎는 個我를 沒케 하야 大我 即 佛의 性을 實現함으로써 그 目的을 삼앗스나 基督敎는 神性과 人格을 差...,VALID
11,C06-P15,C03-S04-I05-P06,0.1818181818181818,C06,C03,C03-S04,第三、動物本位意識論（Animalische Theorie des Bewusstseins）是れは凡ての動物に意識があると云ふのであります。 さうして單に動...,넷재는 生物 本位의 意識論이니 設使 動物이 안일지라도 生物이면 即 植物과 如한 것이라도 다 가티 意識이 잇다 하는 것인데 더욱이 廣博한 意識論의...,VALID
12,C13-S01-P05,C06-S06-P02,0.1818181818181818,C13,C06,C06-S06,第四に基督敎の方は復活（レサレクション）の考があります。 基督が復活したといふことを篤く信じて、基督を信仰する者は亦基督の樣に復活するといふのがポーロの考であり...,第一 儒敎와 基督敎의 差異点으로 말하면,VALID
13,C13-S01-P07,C06-S06-P02,0.1818181818181818,C13,C06,C06-S06,六には基督敎は愛を説き、儒敎は仁を説きます。 仁も愛に相違ないが、基督敎の愛は無差別平等の愛であり、儒敎の愛は差別的秩序的の愛であります。 近い處から段々遠きに...,第一 儒敎와 基督敎의 差異点으로 말하면,VALID
14,C13-S01-P07,C06-S06-P08,0.1818181818181818,C13,C06,C06-S06,六には基督敎は愛を説き、儒敎は仁を説きます。 仁も愛に相違ないが、基督敎の愛は無差別平等の愛であり、儒敎の愛は差別的秩序的の愛であります。 近い處から段々遠きに...,己、基督敎는 支那의 墨子와 가티 兼愛를 說하엿으나 儒敎는 差別愛를 說한 것이라 基督 聖經中에 일넛스되 敵을 愛하라 하엿스며 人이 我의 右頰을 打...,VALID
15,C14-S03-P01,C06-S06-P15,0.1818181818181818,C14,C06,C06-S06,尙この佛敎と基督敎といふものを對照して見ますると、宗敎の種類が餘程違つて居ります。 どちらも宗敎は宗敎であるけれども、其の宗敎の種類が決して同じものではない。,己、佛敎는 佛을 汎神敎的 宇宙普遍인 理性으로 解釋할 수 잇스나 基督敎는 어대까지든지 神을 人格者로 觀하는 것이라,VALID
16,C14-S04-P03,C06-S06-P09,0.1818181818181818,C14,C06,C06-S06,如何に佛敎と基督敎を調和しやうとしても、歷史的には到底調和することの出來ないのは、此顯著なる差異點であります。,第二 . 佛敎와 基督敎의 差異点을 들러 보면,VALID
18,C06-P15,C03-S04-I05-P02,0.1666666666666666,C06,C03,C03-S04,第三、動物本位意識論（Animalische Theorie des Bewusstseins）是れは凡ての動物に意識があると云ふのであります。 さうして單に動...,意識을 觀念하는 上 다섯 가지의 思考가 잇나니,VALID
19,C06-P15,C03-S04-I05-P05,0.1666666666666666,C06,C03,C03-S04,第三、動物本位意識論（Animalische Theorie des Bewusstseins）是れは凡ての動物に意識があると云ふのであります。 さうして單に動...,셋재는 動物 本位의 意識論이니 一般의 動物은 神經의 有無를 不問하고 한가지로 意識이 잇다 하는 것이니 이것은 前者에 比하야 또한 超越한 것이며,VALID
20,C06-P17,C03-S04-I05-P04,0.1666666666666666,C06,C03,C03-S04,第五、細胞本位意識論（Cellulare Theorie des Bewusstseins）是れは凡ての細胞に意識があると云ふのでありまして、なか／＼廣くなりて...,둘재는 神經 本位의 意識論이니 即 神經이 잇는 것 以外에 意識이 업다 한 것인데 이것은 前者에 比하야 한 層 超越한 意識觀이 될 것이며,VALID
21,C13-S01-P02,C06-S06-P02,0.1666666666666666,C13,C06,C06-S06,第一、基督敎は宗敎として發達して來たものでありまして、信仰に依つて成立つて居ります。 儒敎は全く宗敎的分子がないといふのではないけれども、大體は德敎であります。...,第一 儒敎와 基督敎의 差異点으로 말하면,VALID
22,C13-S02-P02,C06-S06-P02,0.1666666666666666,C13,C06,C06-S06,所が儒敎に於ても其れと違ふ樣で、亦見樣に依つては餘程似たことがあります。,第一 儒敎와 基督敎의 差異点으로 말하면,VALID
